sentence,type,object number,formatted sentence,selected option,time,is_match
delete user,camelCase,7,deleteUser,deleteUser,3.213,True
search item,camelCase,7,searchItem,searchItem,4.443,True
delete user,kebab,7,delete-user,delete-user,2.647,True
load file,kebab,7,load-file,load-file,2.625,True
add item,kebab,8,add-item,add-item,3.347,True
load file,camelCase,8,loadFile,loadFile,2.711,True
send email,kebab,8,send-email,send-email,3.831,True
update record,camelCase,8,updateRecord,updateRecord,4.339,True
play video,camelCase,8,playVideo,playVideo,3.702,True
search item,kebab,8,search-item,search-item,4.010,True
play video,kebab,8,play-video,play-video,2.842,True
add item,camelCase,8,addItem,addItem,3.023,True
calculate sum,camelCase,8,calculateSum,calculateSum,3.311,True
find user,camelCase,8,findUser,findUser,4.243,True
send email,camelCase,8,sendEmail,sendEmail,3.098,True
calculate sum,kebab,8,calculate-sum,calculate-sum,3.767,True
find user,kebab,8,find-user,find-user,1.964,True
find user,camelCase,8,findUser,findUser,4.899,True
create account,camelCase,8,createAccount,createAccount,5.323,True
update record,kebab,8,update-record,update-record,4.376,True
delete user,kebab,8,delete-user,delete-user,3.082,True
load file,kebab,8,load-file,load-file,2.911,True
delete user,camelCase,8,deleteUser,deleteUser,3.303,True
search item,camelCase,8,searchItem,searchItem,4.420,True
delete user,kebab,8,delete-user,delete-user,3.598,True
load file,kebab,8,load-file,load-file,4.274,True
add item,kebab,9,add-item,add-item,2.181,True
load file,camelCase,9,loadFile,loadFile,2.054,True
send email,kebab,9,send-email,send-email,4.893,True
update record,camelCase,9,updateRecord,updateRecord,4.865,True
play video,camelCase,9,playVideo,playVideo,3.337,True
search item,kebab,9,search-item,search-item,2.035,True
play video,kebab,9,play-video,play-video,2.058,True
add item,camelCase,9,addItem,addItem,2.215,True
calculate sum,camelCase,9,calculateSum,calculateSum,2.667,True
find user,camelCase,9,findUser,findUser,3.681,True
send email,camelCase,9,sendEmail,sendEmail,4.466,True
calculate sum,kebab,9,calculate-sum,calculate-sum,4.292,True
find user,kebab,9,find-user,find-user,1.985,True
find user,camelCase,9,findUser,findUser,3.075,True
create account,camelCase,9,createAccount,createAccount,1.995,True
update record,kebab,9,update-record,update-record,4.421,True
delete user,kebab,9,delete-user,delete-user,2.067,True
load file,kebab,9,load-file,load-file,1.765,True
delete user,camelCase,9,deleteUser,deleteUser,2.906,True
search item,camelCase,9,searchItem,searchItem,3.983,True
delete user,kebab,9,delete-user,delete-user,2.385,True
load file,kebab,9,load-file,load-file,2.139,True
add item,kebab,10,add-item,add-item,5.422,True
load file,camelCase,10,loadFile,loadFile,7.923,True
send email,kebab,10,send-email,send-email,3.269,True
update record,camelCase,10,updateRecord,uprootRecord,2.754,False
play video,camelCase,10,playVideo,playVideo,3.875,True
search item,kebab,10,search-item,search-item,3.139,True
play video,kebab,10,play-video,play-video,1.899,True
